genres,revenue,popularity,vote_average,name
6,355237933,68.140214,7.3,Drama
6,352114312,73.944049,7.7,Drama
6,351040419,61.196071,7.3,Drama
6,346079773,47.845589,6.7,Drama
6,333932083,60.269279,7.3,Drama
6,327803731,91.285683,7.3,Drama
6,326551094,83.893257,7.0,Drama
6,325756637,25.752118,6.2,Drama
6,325233863,39.744242,6.6,Drama
6,321365567,104.469351,8.3,Drama
6,320145693,16.742972,6.6,Drama
6,319131050,72.595961,7.9,Drama
6,317375031,36.238968,6.7,Drama
6,313542341,59.248437,7.7,Drama
6,309208309,25.767395,7.2,Drama
6,307166834,74.358971,7.6,Drama
6,307077295,80.581367,7.7,Drama
6,306776732,32.217425,6.9,Drama
6,303788635,52.456505,7.2,Drama
6,299268508,37.195046,6.6,Drama
6,294804195,81.914696,7.8,Drama
6,289847354,63.429157,7.9,Drama
6,288500217,53.213931,7.2,Drama
6,288347692,18.325897,5.4,Drama
6,286214286,37.960289,7.4,Drama
6,286140700,67.33767,6.4,Drama
6,284600000,103.698022,8.2,Drama
6,281929795,35.310712,6.5,Drama
6,275293450,36.307296,6.7,Drama
6,273552592,27.039636,6.7,Drama
6,272742922,18.174804,8.1,Drama
6,270248367,23.736535,6.6,Drama
6,269958228,50.7453,7.8,Drama
6,268031828,101.599427,5.6,Drama
6,267447150,47.651878,6.8,Drama
6,266728738,16.939441,6.3,Drama
6,266465037,42.361215,7.4,Drama
6,264118201,56.488027,7.8,Drama
6,256697520,27.491891,6.2,Drama
6,256271286,30.347332,7.1,Drama
6,254700832,29.834065,6.6,Drama
6,254134910,34.36645,6.0,Drama
6,252276927,49.292384,7.2,Drama
6,251171807,49.664128,6.8,Drama
6,250649836,41.207568,6.7,Drama
6,250200000,36.125715,6.5,Drama
6,248118121,42.006908,6.9,Drama
6,245360480,34.981698,5.3,Drama
6,245066411,143.659698,8.4,Drama
6,244931766,37.073127,7.0,Drama
6,243240178,40.379966,7.1,Drama
6,242295562,24.507987,5.6,Drama
6,237681299,41.176631,6.0,Drama
6,235926552,34.035114,6.8,Drama
6,235860116,55.458584,8.1,Drama
6,234801895,34.86859,6.1,Drama
6,233555708,145.364591,8.0,Drama
6,233093859,41.890722,5.2,Drama
6,232617430,47.651083,7.2,Drama
6,232324128,62.01056,7.1,Drama
6,231976425,29.381878,7.0,Drama
6,231411584,19.782725,7.0,Drama
6,226904017,37.917002,5.7,Drama
6,225933435,43.734886,7.9,Drama
6,224920315,69.27822,7.1,Drama
6,223387299,32.05145,6.1,Drama
6,219417255,57.753914,7.0,Drama
6,219076518,22.527211,6.2,Drama
6,218613188,29.464852,6.8,Drama
6,218340595,56.868399,6.3,Drama
6,217764291,44.815022,7.0,Drama
6,216763646,70.456012,7.7,Drama
6,215887717,18.832471,6.4,Drama
6,215529201,64.457947,6.2,Drama
6,215294342,23.657284,6.8,Drama
6,215283742,35.580815,5.8,Drama
6,215000000,32.798571,6.8,Drama
6,214104620,33.691694,6.5,Drama
6,214034224,86.476817,7.3,Drama
6,214015089,15.064058,5.9,Drama
6,213525736,45.742254,7.2,Drama
6,212404396,25.877794,6.0,Drama
6,211817906,139.575085,7.4,Drama
6,211780824,43.865294,6.2,Drama
6,211643158,44.490453,6.6,Drama
6,210000000,60.722162,7.7,Drama
6,207945075,53.161905,7.6,Drama
6,207515725,25.170217,6.9,Drama
6,206678440,44.301745,7.6,Drama
6,205738714,63.599973,6.9,Drama
6,205405498,26.82041,7.5,Drama
6,205366737,39.004588,6.4,Drama
6,204594016,28.800112,5.8,Drama
6,203427584,60.246978,6.7,Drama
6,203388341,27.299301,6.5,Drama
6,203277636,54.81489,6.1,Drama
6,202292902,35.537397,7.0,Drama
6,201634991,61.76233,7.7,Drama
6,200276000,38.832842,6.7,Drama
6,198685114,21.272734,6.4,Drama
6,196397415,53.043124,6.5,Drama
6,196114570,26.780961,7.0,Drama
6,195268056,17.923254,6.3,Drama
6,193772504,46.160048,7.1,Drama
6,193000000,22.392544,5.9,Drama
6,190320568,26.065735,6.2,Drama
6,189859560,30.397496,6.3,Drama
6,189833357,16.234053,6.3,Drama
6,188133322,43.348022,7.0,Drama
6,187000000,95.9229,7.9,Drama
6,186883563,12.867352,6.7,Drama
