cast,title,year
Michael Keaton,Batman,1989-06-23
Jack Nicholson,Batman,1989-06-23
Kevin Costner,The Bodyguard,1992-11-25
Mel Gibson,Signs,2002-08-02
Joaquin Phoenix,Signs,2002-08-02
Hugh Jackman,X2,2003-04-24
Patrick Stewart,X2,2003-04-24
Michael Fassbender,Prometheus,2012-05-30
Guy Pearce,Prometheus,2012-05-30
Brendan Fraser,The Mummy: Tomb of the Dragon Emperor,2008-07-01
Jet Li,The Mummy: Tomb of the Dragon Emperor,2008-07-01
Jeff Bridges,TRON: Legacy,2010-12-10
Philip Seymour Hoffman,Mission: Impossible III,2006-05-03
Kristen Stewart,Snow White and the Huntsman,2012-05-30
Chris Hemsworth,Snow White and the Huntsman,2012-05-30
Charlize Theron,Snow White and the Huntsman,2012-05-30
Kristen Stewart,Twilight,2008-11-20
Leonardo DiCaprio,The Wolf of Wall Street,2013-12-25
Jonah Hill,The Wolf of Wall Street,2013-12-25
Kevin Spacey,Superman Returns,2006-06-28
Kate Bosworth,Superman Returns,2006-06-28
Morgan Freeman,Robin Hood: Prince of Thieves,1991-06-14
Kevin Costner,Robin Hood: Prince of Thieves,1991-06-14
Bill Pullman,Independence Day: Resurgence,2016-06-22
Chris Pine,Star Trek,2009-05-06
Elijah Wood,Happy Feet,2006-11-16
Robin Williams,Happy Feet,2006-11-16
Bruce Willis,Live Free or Die Hard,2007-06-20
Justin Long,Live Free or Die Hard,2007-06-20
John Leguizamo,Ice Age,2002-03-10
Seth Rogen,Monsters vs Aliens,2009-03-19
Reese Witherspoon,Monsters vs Aliens,2009-03-19
Arnold Schwarzenegger,True Lies,1994-07-14
Charlize Theron,Mad Max: Fury Road,2015-05-13
Liam Neeson,Taken 2,2012-09-27
Christian Bale,Batman Begins,2005-06-10
Liam Neeson,Batman Begins,2005-06-10
Michael Caine,Batman Begins,2005-06-10
Mel Gibson,What Women Want,2000-12-15
Marisa Tomei,What Women Want,2000-12-15
Tim Allen,Toy Story,1995-10-30
Daniel Craig,The Golden Compass,2007-12-04
Nicole Kidman,The Golden Compass,2007-12-04
Dwayne Johnson,G.I. Joe: Retaliation,2013-03-26
Christian Bale,Terminator Salvation,2009-05-20
Chris Evans,Captain America: The First Avenger,2011-07-22
Tommy Lee Jones,Captain America: The First Avenger,2011-07-22
Emily Blunt,Edge of Tomorrow,2014-05-27
Cameron Diaz,There's Something About Mary,1998-07-15
Matt Dillon,There's Something About Mary,1998-07-15
Ben Affleck,Gone Girl,2014-10-01
Steve Martin,Home,2015-03-18
Sam Neill,Jurassic Park III,2001-07-18
Téa Leoni,Jurassic Park III,2001-07-18
Eva Mendes,Hitch,2005-02-10
Robert De Niro,Shark Tale,2004-09-20
Renée Zellweger,Shark Tale,2004-09-20
Bruce Willis,Die Hard: With a Vengeance,1995-05-19
Samuel L. Jackson,Die Hard: With a Vengeance,1995-05-19
Julia Roberts,Notting Hill,1999-05-13
Hugh Grant,Notting Hill,1999-05-13
Kevin Spacey,A Bug's Life,1998-11-25
Brad Pitt,Ocean's Twelve,2004-12-09
George Clooney,Ocean's Twelve,2004-12-09
Catherine Zeta-Jones,Ocean's Twelve,2004-12-09
Russell Crowe,Noah,2014-03-20
Jennifer Connelly,Noah,2014-03-20
Mark Wahlberg,Planet of the Apes,2001-07-25
Helena Bonham Carter,Planet of the Apes,2001-07-25
Pierce Brosnan,The World Is Not Enough,1999-11-08
Jason Lee,Alvin and the Chipmunks,2007-12-13
Joe Pesci,Home Alone 2: Lost in New York,1992-11-19
Adam Sandler,Hotel Transylvania,2012-09-20
Steve Buscemi,Hotel Transylvania,2012-09-20
Colin Farrell,Minority Report,2002-06-20
Samantha Morton,Minority Report,2002-06-20
Val Kilmer,Top Gun,1986-05-16
Ewan McGregor,Angels & Demons,2009-05-13
Kevin Spacey,American Beauty,1999-09-15
Annette Bening,American Beauty,1999-09-15
Dwayne Johnson,Journey 2: The Mysterious Island,2012-01-19
Josh Hutcherson,Journey 2: The Mysterious Island,2012-01-19
Kevin Bacon,Apollo 13,1995-06-30
Michael Fassbender,X-Men: First Class,2011-05-24
James McAvoy,X-Men: First Class,2011-05-24
Pierce Brosnan,GoldenEye,1995-11-16
Christopher Walken,Catch Me If You Can,2002-12-25
Jim Carrey,The Mask,1994-07-29
Sandra Bullock,Speed,1994-06-09
Keanu Reeves,Speed,1994-06-09
Nicolas Cage,National Treasure,2004-11-19
Jackie Chan,Rush Hour 2,2001-08-03
Mel Gibson,Pocahontas,1995-06-14
Jim Carrey,How the Grinch Stole Christmas,2000-11-17
Chris Pine,Star Trek Beyond,2016-07-07
Bruce Willis,Over the Hedge,2006-04-22
Steve Carell,Over the Hedge,2006-04-22
Jason Lee,Alvin and the Chipmunks: Chipwrecked,2011-12-14
John Goodman,The Flintstones,1994-05-26
