cast,title,year
Kate Hudson,The Skeleton Key,2005-07-29
Julia Stiles,Save the Last Dance,2001-01-12
Jet Li,Romeo Must Die,2000-03-20
Justin Long,Drag Me to Hell,2009-03-15
Tyler Perry,Madea Goes to Jail,2009-02-16
Christopher Walken,Hairspray,2007-07-13
Kirsten Dunst,Bring It On,2000-08-25
Dan Aykroyd,Trading Places,1983-06-07
Brendan Fraser,Bedazzled,2000-10-19
Ed Harris,The Abyss,1989-08-09
Robert Duvall,Apocalypse Now,1979-08-15
Ethan Hawke,The Purge,2013-05-31
Helen Mirren,The Hundred-Foot Journey,2014-08-06
Clive Owen,Gosford Park,2001-11-07
Helen Mirren,Gosford Park,2001-11-07
Jon Voight,Ali,2001-12-11
Luke Wilson,Old School,2003-02-21
Jennifer Garner,The Kingdom,2007-08-22
Kurt Russell,Sky High,2005-07-29
Penélope Cruz,Volver,2006-03-16
Jessica Alba,Spy Kids: All the Time in the World,2011-08-18
Cuba Gooding Jr.,Rat Race,2001-07-30
Marisa Tomei,The Lincoln Lawyer,2011-03-17
Ryan Phillippe,The Lincoln Lawyer,2011-03-17
Bill Murray,Stripes,1981-06-25
Jason Statham,Transporter 2,2005-08-02
Donald Sutherland,Final Fantasy: The Spirits Within,2001-07-02
Jason Statham,Snatch,2000-09-01
Cillian Murphy,28 Days Later,2002-10-31
Julianne Moore,Carrie,2013-10-16
Geoffrey Rush,Elizabeth,1998-09-13
Rosario Dawson,The Rundown,2003-09-26
Jim Broadbent,Hot Fuzz,2007-02-14
Kevin Bacon,Footloose,1984-02-17
Elizabeth Banks,What to Expect When You're Expecting,2012-05-17
Matthew Broderick,WarGames,1983-06-03
Ryan Gosling,Drive,2011-08-06
Kiefer Sutherland,The Sentinel,2006-04-19
Ethan Hawke,Sinister,2012-03-29
Logan Lerman,The Number 23,2007-02-23
Jennifer Garner,Miracles from Heaven,2016-03-17
Geoffrey Rush,The Book Thief,2013-11-08
Billy Bob Thornton,Bad Santa,2003-11-26
Kevin Kline,The Road to El Dorado,2000-03-31
Ethan Hawke,The Newton Boys,1998-03-26
Ryan Phillippe,Cruel Intentions,1999-03-05
Anthony Anderson,Barbershop,2002-04-01
Jason Lee,Dreamcatcher,2003-03-21
Thomas Jane,Dreamcatcher,2003-03-21
Josh Hartnett,30 Days of Night,2007-10-17
Guy Pearce,The Count of Monte Cristo,2002-01-23
Jim Caviezel,The Count of Monte Cristo,2002-01-23
Nick Nolte,The Prince of Tides,1991-12-25
Brendan Fraser,Escape from Planet Earth,2013-02-14
Clive Owen,Elizabeth: The Golden Age,2007-09-09
Thomas Jane,Deep Blue Sea,1999-07-28
Winona Ryder,Beetlejuice,1988-02-29
Woody Allen,To Rome with Love,2012-04-20
Salma Hayek,Here Comes the Boom,2012-10-11
Don Cheadle,Hotel for Dogs,2009-01-16
Jet Li,The One,2001-11-02
Paula Patton,Mirrors,2008-08-15
Kiefer Sutherland,Mirrors,2008-08-15
John Turturro,"O Brother, Where Art Thou?",2000-08-30
John Malkovich,RED,2010-10-13
Helen Mirren,RED,2010-10-13
Terrence Howard,The Best Man Holiday,2013-11-15
Morris Chestnut,The Best Man Holiday,2013-11-15
Cuba Gooding Jr.,What Dreams May Come,1998-10-02
Javier Bardem,The Counselor,2013-10-25
Clive Owen,Children of Men,2006-09-22
Kevin Spacey,21,2008-03-27
Kate Bosworth,21,2008-03-27
Diane Keaton,Because I Said So,2007-02-02
Hayden Christensen,Takers,2010-08-26
Matt Dillon,Takers,2010-08-26
Zoe Saldana,Guess Who,2005-03-25
Thomas Jane,The Sweetest Thing,2002-04-12
Abigail Breslin,The Call,2013-03-14
Morris Chestnut,The Call,2013-03-14
Gabriel Byrne,Ghost Ship,2002-10-25
Jim Caviezel,Frequency,2000-04-28
Billy Bob Thornton,Bandits,2001-10-12
Christopher Walken,Jersey Boys,2014-06-05
Matt Dillon,Wild Things,1998-03-20
Winona Ryder,The Dilemma,2011-01-13
Chris Rock,Bad Company,2002-06-07
Ryan Phillippe,Flags of Our Fathers,2006-10-18
Emile Hirsch,The Darkest Hour,2011-12-22
Kurt Russell,Miracle,2004-02-06
Christopher Plummer,The Imaginarium of Doctor Parnassus,2009-10-01
Marisa Tomei,My Cousin Vinny,1992-03-13
Jeff Daniels,Space Chimps,2008-07-17
Ashley Judd,High Crimes,2002-04-03
Jessica Alba,Honey,2003-11-24
John Hurt,Captain Corelli's Mandolin,2001-08-17
Helen Mirren,Woman in Gold,2015-04-10
Toni Collette,Krampus,2015-11-26
Kiefer Sutherland,Flatliners,1990-08-09
Salma Hayek,After the Sunset,2004-11-12
Woody Harrelson,After the Sunset,2004-11-12
Joseph Gordon-Levitt,The Walk,2015-09-30
Luke Wilson,My Super Ex-Girlfriend,2006-06-20
Tim Robbins,Mission to Mars,2000-03-10
Viggo Mortensen,A History of Violence,2005-09-23
Maria Bello,A History of Violence,2005-09-23
Joseph Gordon-Levitt,(500) Days of Summer,2009-07-17
Ashley Judd,Kiss the Girls,1997-10-03
Naomi Watts,21 Grams,2003-09-06
Christopher Plummer,The Insider,1999-10-28
Diane Lane,Secretariat,2010-08-20
Naomi Watts,The International,2009-02-03
Tyler Perry,Why Did I Get Married Too?,2010-04-02
Justin Long,Jeepers Creepers,2001-07-01
Patrick Wilson,Morning Glory,2010-01-12
Diane Lane,Must Love Dogs,2005-07-21
Susan Sarandon,That's My Boy,2012-06-14
Cillian Murphy,Red Eye,2005-08-04
Laurence Fishburne,Boyz n the Hood,1991-07-12
Cuba Gooding Jr.,Boyz n the Hood,1991-07-12
Tyler Perry,Madea's Family Reunion,2006-02-24
Thomas Jane,The Mist,2007-11-21
Bill Pullman,Lake Placid,1999-07-15
Josh Hartnett,Lucky Number Slevin,2006-02-24
Emile Hirsch,Into the Wild,2007-09-11
Eva Mendes,Out of Time,2003-10-03
Elizabeth Banks,"Definitely, Maybe",2008-02-08
Abigail Breslin,"Definitely, Maybe",2008-02-08
Tyler Perry,Why Did I Get Married?,2007-10-12
Laura Linney,The Mothman Prophecies,2002-01-25
Will Patton,The Mothman Prophecies,2002-01-25
Téa Leoni,Spanglish,2004-12-17
Will Patton,The Punisher,2004-04-15
Thomas Jane,The Punisher,2004-04-15
Jeff Daniels,"Good Night, and Good Luck.",2005-09-16
Emile Hirsch,Milk,2008-11-26
Paul Newman,The Verdict,1982-12-08
Joseph Gordon-Levitt,10 Things I Hate About You,1999-03-30
Julia Stiles,10 Things I Hate About You,1999-03-30
Jeff Daniels,Arachnophobia,1990-08-09
Ashley Judd,Dolphin Tale 2,2014-09-12
Cuba Gooding Jr.,Radio,2003-10-24
Kate Bosworth,Blue Crush,2002-08-08
Jean-Claude Van Damme,Maximum Risk,1996-09-13
Elizabeth Banks,The Next Three Days,2010-11-18
Josh Hartnett,Hollywood Homicide,2003-06-09
Donald Sutherland,The Mechanic,2011-01-13
Matthew Broderick,The Tale of Despereaux,2008-12-19
Gabriel Byrne,Stigmata,1999-09-10
Annette Bening,The Women,2008-09-12
Joan Cusack,Raising Helen,2004-05-27
John C. Reilly,Magnolia,1999-12-08
John C. Reilly,9,2009-08-19
Angela Bassett,Malcolm X,1992-11-18
Diane Keaton,The Godfather: Part II,1974-12-20
Paula Patton,Precious,2009-11-06
Danny DeVito,Deck the Halls,2006-11-22
Billy Bob Thornton,Monster's Ball,2001-11-11
Harvey Keitel,Cop Land,1997-08-15
Kiefer Sutherland,Young Guns,1988-08-12
Marisa Tomei,The Wrestler,2008-09-07
Mickey Rourke,The Wrestler,2008-09-07
Maria Bello,Lights Out,2016-07-21
Will Patton,The Fourth Kind,2009-11-06
Steve Buscemi,Escape from L.A.,1996-08-09
Queen Latifah,Set It Off,1996-11-06
Laura Linney,Man of the Year,2006-10-09
Diane Lane,Hardball,2001-09-14
Colin Firth,Bridget Jones: The Edge of Reason,2004-11-10
Freddie Prinze Jr.,I Still Know What You Did Last Summer,1998-11-13
Mickey Rourke,Sin City: A Dame to Kill For,2014-08-20
Queen Latifah,Last Holiday,2006-01-13
Woody Allen,Annie Hall,1977-04-19
Bill Pullman,Spaceballs,1987-06-24
Tim Robbins,Howard the Duck,1986-08-01
Paula Patton,Jumping the Broom,2011-05-06
Angela Bassett,How Stella Got Her Groove Back,1998-08-14
Steve Zahn,Joy Ride,2001-10-05
James Marsden,The Best of Me,2014-10-16
Steve Zahn,Riding in Cars with Boys,2001-10-19
Gabriel Byrne,Assault on Precinct 13,2005-01-19
Sam Rockwell,The Sitter,2011-12-09
Nia Long,The Best Man,1999-10-22
Morris Chestnut,The Best Man,1999-10-22
Sam Rockwell,Confessions of a Dangerous Mind,2002-12-30
Terrence Howard,Hart's War,2002-02-15
Cillian Murphy,Sunshine,2007-04-05
Catherine Keener,The Soloist,2009-04-24
John Hurt,Rob Roy,1995-04-13
Woody Allen,Scoop,2006-07-27
Colin Firth,Girl with a Pearl Earring,2003-08-31
Tyler Perry,Alex Cross,2012-10-18
Jean-Claude Van Damme,Double Impact,1991-08-10
Anthony Anderson,Agent Cody Banks 2: Destination London,2004-12-03
Nia Long,Boiler Room,2000-02-18
Tim Robbins,The Shawshank Redemption,1994-09-23
Harvey Keitel,Taxi Driver,1976-02-07
Jim Broadbent,The Young Victoria,2009-03-04
Jennifer Jason Leigh,Fast Times at Ridgemont High,1982-08-13
John Hurt,The Elephant Man,1980-10-02
Harvey Keitel,From Dusk Till Dawn,1996-01-19
Billy Bob Thornton,The Alamo,2004-04-07
Chris Rock,Top Five,2014-12-12
Toni Collette,Fright Night,2011-08-18
Maria Bello,Thank You for Smoking,2005-09-05
Terrence Howard,Hustle & Flow,2005-07-22
Anthony Anderson,Hustle & Flow,2005-07-22
Gabriel Byrne,The Usual Suspects,1995-07-19
Mickey Rourke,Domino,2005-09-22
Steve Zahn,A Perfect Getaway,2009-06-08
Angela Bassett,Mr. 3000,2004-06-15
Freddie Prinze Jr.,Boys and Girls,2000-06-16
Angela Bassett,Vampire in Brooklyn,1995-10-27
Sam Rockwell,Seven Psychopaths,2012-09-07
Ryan Phillippe,The Way of the Gun,2000-09-08
Woody Allen,Sleeper,1973-12-17
Tim Robbins,Antitrust,2001-01-12
Jim Broadbent,Another Year,2010-11-05
Terrence Howard,Dead Man Down,2013-03-08
Julia Stiles,A Guy Thing,2003-01-17
Kate Bosworth,Win a Date with Tad Hamilton!,2004-01-23
Kevin Kline,The Conspirator,2010-09-10
Luke Wilson,Alex & Emma,2003-06-16
Morris Chestnut,The Cave,2005-08-25
Hayden Christensen,Awake,2007-11-28
Jean-Claude Van Damme,Bloodsport,1988-02-26
Kate Bosworth,The Warrior's Way,2010-12-02
Jennifer Jason Leigh,The Machinist,2004-02-09
Samantha Morton,Control,2007-09-26
Kevin Kline,The Ice Storm,1997-09-27
Mickey Rourke,Harley Davidson and the Marlboro Man,1991-08-23
Jennifer Jason Leigh,Anomalisa,2015-12-30
Samantha Morton,Miss Julie,2014-09-07
John Hurt,Heaven's Gate,1980-11-19
Jim Broadbent,When Did You Last See Your Father?,2007-10-05
Anthony Anderson,My Baby's Daddy,2004-01-09
Samantha Morton,Dreaming of Joseph Lees,1999-10-29
Julia Stiles,Out of the Dark,2014-08-27
Morris Chestnut,Breakin' All the Rules,2004-05-14
