director,revenue,popularity,vote_average,name
245,65884703,70.105981,8.0,Brian De Palma
245,60874615,16.058284,5.7,Brian De Palma
245,49111202,15.213484,5.7,Brian De Palma
245,37170057,7.558959,5.9,Brian De Palma
245,31899000,11.208769,6.8,Brian De Palma
245,16838910,9.07278,6.2,Brian De Palma
245,12000000,13.628601,7.3,Brian De Palma
245,8801940,9.525626,6.4,Brian De Palma
245,782102,3.792015,6.2,Brian De Palma
1480,1123746996,28.529607,6.1,Michael Bay
1480,1091405097,116.840296,5.8,Michael Bay
1480,836297228,21.939663,6.0,Michael Bay
1480,709709780,25.468493,6.6,Michael Bay
1480,553799566,58.485967,6.4,Michael Bay
1480,449220945,34.20669,6.6,Michael Bay
1480,335062621,51.469576,6.9,Michael Bay
1480,273339556,38.068736,6.3,Michael Bay
1480,162949164,37.68056,6.5,Michael Bay
1480,141407024,33.872182,6.5,Michael Bay
1480,86175291,31.893932,6.1,Michael Bay
1480,69411370,42.526529,7.0,Michael Bay
1256,55583804,25.825771,5.3,Kevin Smith
1256,42105111,27.326466,6.1,Kevin Smith
1256,36098382,14.699342,5.8,Kevin Smith
1256,33788161,21.865021,6.4,Kevin Smith
1256,30652890,14.543435,6.8,Kevin Smith
1256,26888376,18.077963,6.9,Kevin Smith
1256,12021272,20.601483,6.7,Kevin Smith
1256,3151130,19.748658,7.4,Kevin Smith
1256,2122561,16.139771,6.8,Kevin Smith
1256,1826705,15.754614,5.1,Kevin Smith
1256,1104682,12.062371,5.9,Kevin Smith
1256,0,8.618793,4.7,Kevin Smith
2233,356830601,58.900647,6.7,Tony Scott
2233,299965036,25.28436,6.1,Tony Scott
2233,250649836,41.207568,6.7,Tony Scott
2233,167805466,37.698465,6.3,Tony Scott
2233,157920733,16.278022,5.9,Tony Scott
2233,157387195,20.334629,7.0,Tony Scott
2233,150166126,40.597856,6.2,Tony Scott
2233,143049560,27.166757,6.8,Tony Scott
2233,130293714,45.299089,7.3,Tony Scott
2233,22944502,18.394571,6.0,Tony Scott
2233,18626419,4.366488,5.7,Tony Scott
2233,12281551,35.268557,7.5,Tony Scott
667,245066411,143.659698,8.4,Francis Ford Coppola
667,215862692,45.022964,7.1,Francis Ford Coppola
667,136766062,59.194915,7.1,Francis Ford Coppola
667,89460381,49.973462,8.0,Francis Ford Coppola
667,47542841,105.792936,8.3,Francis Ford Coppola
667,45916769,12.229516,6.7,Francis Ford Coppola
667,41382841,12.243887,5.9,Francis Ford Coppola
667,33697647,13.455373,6.9,Francis Ford Coppola
667,25928721,8.59075,6.6,Francis Ford Coppola
667,4420000,20.810292,7.5,Francis Ford Coppola
667,0,5.060656,5.0,Francis Ford Coppola
667,0,6.684096,6.2,Francis Ford Coppola
2024,574480841,48.780039,6.3,Shawn Levy
2024,413106170,81.781591,5.9,Shawn Levy
2024,349424282,115.597753,6.1,Shawn Levy
2024,299268508,37.195046,6.6,Shawn Levy
2024,190212113,26.516624,6.0,Shawn Levy
2024,152263880,38.06168,5.9,Shawn Levy
2024,101564935,18.47518,5.3,Shawn Levy
2024,52970014,9.125594,5.6,Shawn Levy
2024,44000000,1.551497,6.1,Shawn Levy
2024,41296320,20.311684,6.5,Shawn Levy
2024,0,25.450534,5.6,Shawn Levy
1030,252276927,49.292384,7.2,Joel Coen
1030,171600000,53.645267,7.7,Joel Coen
1030,163720069,31.941347,6.5,Joel Coen
1030,119940815,22.620125,5.8,Joel Coen
1030,71868327,39.742009,7.3,Joel Coen
1030,63647656,39.006187,5.7,Joel Coen
1030,46189568,49.230089,7.8,Joel Coen
1030,32935319,36.319205,7.2,Joel Coen
1030,31430334,23.612409,6.6,Joel Coen
1030,0,14.188982,7.1,Joel Coen
1030,0,23.666229,6.0,Joel Coen
1823,321731527,36.172182,6.4,Richard Donner
1823,300218018,48.507081,6.9,Richard Donner
1823,285444603,24.855701,6.3,Richard Donner
1823,136982834,22.179658,6.5,Richard Donner
1823,65664721,32.31022,6.2,Richard Donner
1823,60922980,25.939385,7.2,Richard Donner
1823,60328000,21.620317,6.7,Richard Donner
1823,30303072,23.073933,6.0,Richard Donner
1823,19480739,11.22268,5.4,Richard Donner
1823,18432000,14.370111,6.8,Richard Donner
1823,4651977,3.503408,6.6,Richard Donner
1973,890871626,115.699814,5.9,Sam Raimi
1973,821708551,82.502566,6.8,Sam Raimi
1973,783766341,35.149586,6.7,Sam Raimi
1973,491868548,46.985445,5.7,Sam Raimi
1973,90810892,45.083509,6.2,Sam Raimi
1973,29400000,35.037625,7.3,Sam Raimi
1973,18552460,16.473355,6.3,Sam Raimi
1973,5923044,35.674774,7.6,Sam Raimi
1973,0,9.622345,6.3,Sam Raimi
1973,0,10.178917,6.9,Sam Raimi
1973,0,33.758281,7.3,Sam Raimi
1865,243240178,40.379966,7.1,Rob Reiner
1865,175372502,31.305336,7.0,Rob Reiner
1865,107879496,11.056763,6.5,Rob Reiner
1865,92823546,18.430419,7.3,Rob Reiner
1865,58900031,6.22577,5.9,Rob Reiner
1865,52287414,51.109279,7.8,Rob Reiner
1865,30857814,44.533612,7.6,Rob Reiner
1865,25312387,9.633711,5.7,Rob Reiner
1865,15368897,4.352422,5.0,Rob Reiner
1865,1755212,24.210698,7.4,Rob Reiner
1865,0,8.102925,6.2,Rob Reiner
1834,131282949,43.057323,6.7,Richard Linklater
1834,76000000,3.123583,5.9,Richard Linklater
1834,44349000,43.40352,7.5,Richard Linklater
1834,15992615,14.799323,7.6,Richard Linklater
1834,11176469,23.299907,7.4,Richard Linklater
1834,9206470,12.68514,6.5,Richard Linklater
1834,7993039,26.181753,7.4,Richard Linklater
1834,7659918,26.093043,6.8,Richard Linklater
1834,5535405,23.672571,7.7,Richard Linklater
1834,2336172,3.593165,6.6,Richard Linklater
1834,0,3.320622,6.4,Richard Linklater
320,976475550,109.984351,7.5,Chris Columbus
320,876688482,132.397737,7.4,Chris Columbus
320,476684675,2.186927,7.1,Chris Columbus
320,441286195,30.884535,7.0,Chris Columbus
320,358991681,81.487685,6.3,Chris Columbus
320,243637091,140.849495,5.6,Chris Columbus
320,226497209,61.121717,6.0,Chris Columbus
320,93700000,24.939295,6.9,Chris Columbus
320,31670620,10.433667,6.7,Chris Columbus
320,0,16.368283,6.9,Chris Columbus
320,0,14.15192,5.1,Chris Columbus
217,369884651,57.110486,6.5,Bobby Farrelly
217,247275374,35.777067,6.5,Bobby Farrelly
217,169837010,67.767785,5.4,Bobby Farrelly
217,149270999,39.001682,6.1,Bobby Farrelly
217,141069860,29.854773,5.7,Bobby Farrelly
217,83160734,27.11589,5.4,Bobby Farrelly
217,54819301,14.585968,4.9,Bobby Farrelly
217,50451307,9.965073,5.9,Bobby Farrelly
217,33828318,8.802525,5.1,Bobby Farrelly
