cast,revenue,popularity,vote_average,name
2691,214104620,33.691694,6.5,Johnny Depp
2691,152500343,28.727731,6.8,Johnny Depp
2691,117195061,43.571612,7.2,Johnny Depp
2691,116766556,34.160448,7.2,Johnny Depp
2691,103039258,58.991388,5.9,Johnny Depp
2691,98837872,46.049902,6.3,Johnny Depp
2691,98185582,27.555646,6.2,Johnny Depp
2691,92913171,32.908414,6.4,Johnny Depp
2691,89289910,49.046956,5.9,Johnny Depp
2691,83282296,28.350529,7.4,Johnny Depp
2691,74558115,26.134678,6.6,Johnny Depp
2691,64352607,37.181019,6.3,Johnny Depp
2691,58401898,30.359164,6.3,Johnny Depp
2691,53000000,47.51363,7.5,Johnny Depp
2691,41954997,40.370442,7.4,Johnny Depp
2691,30418560,52.417529,5.4,Johnny Depp
2691,30000000,33.282794,7.5,Johnny Depp
2691,22200000,8.870614,6.2,Johnny Depp
2691,19598588,20.697556,5.4,Johnny Depp
2691,10680275,44.511363,7.2,Johnny Depp
2691,5887457,24.548633,7.3,Johnny Depp
2691,0,7.588597,5.9,Johnny Depp
607,531865000,81.834855,6.7,Brad Pitt
607,497409852,66.803149,6.9,Brad Pitt
607,478207520,44.635452,6.5,Brad Pitt
607,450717150,60.929352,7.2,Brad Pitt
607,362744280,76.840712,6.4,Brad Pitt
607,333932083,60.269279,7.3,Brad Pitt
607,327311859,79.579532,8.1,Brad Pitt
607,321887208,68.757242,6.7,Brad Pitt
607,319131050,72.595961,7.9,Brad Pitt
607,311312624,42.069993,6.5,Brad Pitt
607,223664608,50.163785,7.2,Brad Pitt
607,211817906,139.575085,7.4,Brad Pitt
607,165615285,16.245068,7.3,Brad Pitt
607,163720069,31.941347,6.5,Brad Pitt
607,160638883,26.952727,7.2,Brad Pitt
607,147845033,21.021809,5.8,Brad Pitt
607,143049560,27.166757,6.8,Brad Pitt
607,142940100,36.069611,6.9,Brad Pitt
607,140807547,15.350451,5.9,Brad Pitt
607,135330182,25.785925,6.9,Brad Pitt
607,131457682,16.92991,7.0,Brad Pitt
607,110206216,46.180421,7.0,Brad Pitt
607,100853753,146.757391,8.3,Brad Pitt
607,83557872,53.595686,7.7,Brad Pitt
607,54674226,43.862456,6.5,Brad Pitt
607,37930465,24.612603,5.8,Brad Pitt
607,26288320,18.815442,6.6,Brad Pitt
607,14711793,35.53352,7.0,Brad Pitt
607,3727746,11.267676,5.4,Brad Pitt
607,0,1.354816,4.7,Brad Pitt
5327,1066969703,59.995418,7.6,Tom Hanks
5327,767820459,45.313197,6.5,Tom Hanks
5327,677945399,138.133331,8.2,Tom Hanks
5327,497366869,73.575118,7.3,Tom Hanks
5327,481840909,76.041867,7.9,Tom Hanks
5327,429632142,57.739713,7.5,Tom Hanks
5327,373554033,73.640445,7.7,Tom Hanks
5327,356613439,67.447636,6.5,Tom Hanks
5327,355237933,68.140214,7.3,Tom Hanks
5327,352114312,73.944049,7.7,Tom Hanks
5327,305875730,47.323228,6.4,Tom Hanks
5327,284600000,103.698022,8.2,Tom Hanks
5327,250821495,28.540267,6.3,Tom Hanks
5327,219417255,57.753914,7.0,Tom Hanks
